RBD,ASIG_TEL
17690,KPULGAR
18075,jgonzalez
25279,KPULGAR
25287,KPULGAR
26245,vjimenez
1421,KNUÑEZ
6205,FCACERES
9900,vjimenez
12046,jgonzalez
14373,KNUÑEZ
22226,KPULGAR
40329,KNUÑEZ
4268,KPULGAR
11854,JHOPPE
25316,JHOPPE
11343,JHOPPE
14299,KNUÑEZ
19954,FCACERES
40064,vjimenez
1598,KNUÑEZ
4270,KPULGAR
9311,KNUÑEZ
9368,KNUÑEZ
9771,JHOPPE
10629,vjimenez
12955,JHOPPE
22623,FCACERES
5686,FCACERES
10219,jgonzalez
18093,jgonzalez
26249,MMENDEZ
40054,JHOPPE
6122,FCACERES
10140,MMENDEZ
14504,KNUÑEZ
17850,jgonzalez
18094,jgonzalez
22672,FCACERES
13545,vjimenez
16520,JHOPPE
17883,KPULGAR
24599,KNUÑEZ
26075,KNUÑEZ
9205,vjimenez
9572,jgonzalez
11867,JHOPPE
16625,JHOPPE
17854,jgonzalez
22271,FCACERES
22616,FCACERES
24233,MMENDEZ
26164,vjimenez
6833,KPULGAR
8678,vjimenez
10225,jgonzalez
13621,vjimenez
15589,KNUÑEZ
25365,KPULGAR
25450,MMENDEZ
7385,FCACERES
9172,vjimenez
10183,vjimenez
11708,jgonzalez
12505,KPULGAR
15632,KNUÑEZ
20129,FCACERES
22317,KPULGAR
24226,MMENDEZ
25824,KPULGAR
40297,FCACERES
40351,FCACERES
1772,KNUÑEZ
4866,jgonzalez
5669,FCACERES
5774,FCACERES
7181,KPULGAR
11214,FCACERES
11998,KPULGAR
15622,KNUÑEZ
17679,jgonzalez
20019,FCACERES
24486,KNUÑEZ
25954,vjimenez
40155,KNUÑEZ
1483,KNUÑEZ
15627,KNUÑEZ
15809,KNUÑEZ
26460,jgonzalez
3002,JHOPPE
3005,JHOPPE
3731,jgonzalez
6210,FCACERES
8365,MMENDEZ
15515,KNUÑEZ
16583,JHOPPE
18181,jgonzalez
31337,MMENDEZ
5730,FCACERES
10604,vjimenez
12085,KNUÑEZ
12105,KPULGAR
17764,KPULGAR
18247,jgonzalez
20182,FCACERES
22452,KPULGAR
22621,FCACERES
25899,MMENDEZ
22494,FCACERES
2057,KNUÑEZ
2178,KNUÑEZ
5153,KPULGAR
15807,KNUÑEZ
4043,jgonzalez
5683,FCACERES
6300,FCACERES
7441,FCACERES
8194,FCACERES
14565,FCACERES
16507,JHOPPE
20041,FCACERES
20071,FCACERES
26244,KPULGAR
1941,KNUÑEZ
9358,KNUÑEZ
9803,vjimenez
14717,KNUÑEZ
24419,KNUÑEZ
25808,KPULGAR
40073,JHOPPE
390,KPULGAR
2099,KNUÑEZ
9551,vjimenez
20096,FCACERES
25799,MMENDEZ
4647,jgonzalez
10331,jgonzalez
20215,FCACERES
40241,KNUÑEZ
2400,KNUÑEZ
13138,KPULGAR
16417,JHOPPE
16582,JHOPPE
17652,KPULGAR
20064,FCACERES
24954,KPULGAR
25258,KPULGAR
31121,KPULGAR
4497,KPULGAR
6039,FCACERES
9685,vjimenez
15600,KNUÑEZ
1481,KNUÑEZ
1599,KNUÑEZ
4258,KPULGAR
4272,KPULGAR
8590,JHOPPE
15683,KNUÑEZ
15779,KNUÑEZ
20120,FCACERES
8728,JHOPPE
8800,jgonzalez
25155,KPULGAR
3532,JHOPPE
6647,FCACERES
26422,KPULGAR
6896,KPULGAR
1438,FCACERES
3866,jgonzalez
6920,KPULGAR
7710,FCACERES
8612,JHOPPE
9808,JHOPPE
14308,KNUÑEZ
22447,FCACERES
30001,KPULGAR
6964,KPULGAR
3032,JHOPPE
5711,FCACERES
7114,KPULGAR
25467,KPULGAR
40038,KNUÑEZ
