RBD,ASIG_TEL
10157,MMENDEZ
8256,FCACERES
24987,MMENDEZ
24407,MMENDEZ
26117,jgonzalez
9844,vjimenez
10168,vjimenez
11339,JHOPPE
25936,MMENDEZ
10495,MMENDEZ
6895,KPULGAR
12617,JHOPPE
20016,FCACERES
8206,FCACERES
1858,KNUÑEZ
40256,FCACERES
5019,jgonzalez
15501,KNUÑEZ
26209,KPULGAR
10202,jgonzalez
2531,KNUÑEZ
13376,vjimenez
224,JHOPPE
1685,KNUÑEZ
9992,MMENDEZ
9117,KNUÑEZ
9890,KPULGAR
22380,FCACERES
5150,KPULGAR
7826,FCACERES
9308,KNUÑEZ
126,JHOPPE
9105,KNUÑEZ
25314,KPULGAR
25576,MMENDEZ
8631,vjimenez
11942,vjimenez
25781,MMENDEZ
9144,KNUÑEZ
9200,KNUÑEZ
18126,jgonzalez
10651,jgonzalez
1619,KNUÑEZ
1542,KNUÑEZ
8161,FCACERES
10432,vjimenez
2457,KNUÑEZ
10425,MMENDEZ
9197,KNUÑEZ
9312,KNUÑEZ
11965,jgonzalez
20046,FCACERES
1748,KNUÑEZ
10186,vjimenez
4262,KPULGAR
5717,FCACERES
9853,JHOPPE
434,KPULGAR
10122,vjimenez
8629,MMENDEZ
26269,jgonzalez
17920,jgonzalez
12749,JHOPPE
6072,FCACERES
8368,MMENDEZ
9828,JHOPPE
25255,vjimenez
3431,JHOPPE
20108,FCACERES
10625,vjimenez
7743,FCACERES
25201,MMENDEZ
11707,jgonzalez
10404,vjimenez
664,vjimenez
14671,KNUÑEZ
25050,MMENDEZ
17657,jgonzalez
8663,MMENDEZ
20205,FCACERES
25462,KPULGAR
10113,MMENDEZ
1593,KNUÑEZ
4973,jgonzalez
8661,MMENDEZ
10829,KPULGAR
15726,KNUÑEZ
10462,MMENDEZ
3302,JHOPPE
2165,KNUÑEZ
22428,KPULGAR
25589,KNUÑEZ
1537,KNUÑEZ
7388,FCACERES
9845,vjimenez
10220,JHOPPE
301,JHOPPE
9750,JHOPPE
12652,JHOPPE
12655,JHOPPE
16444,JHOPPE
20082,FCACERES
9087,KNUÑEZ
15596,KNUÑEZ
24997,KNUÑEZ
11936,KPULGAR
24963,JHOPPE
10090,MMENDEZ
3303,JHOPPE
9084,JHOPPE
9171,KNUÑEZ
25395,KNUÑEZ
11837,vjimenez
24935,MMENDEZ
649,vjimenez
10224,JHOPPE
16448,JHOPPE
7942,FCACERES
25225,jgonzalez
25916,vjimenez
26012,jgonzalez
11498,FCACERES
12719,JHOPPE
26084,jgonzalez
10000,MMENDEZ
10734,jgonzalez
9103,KNUÑEZ
10520,KNUÑEZ
10641,jgonzalez
12113,jgonzalez
17828,jgonzalez
24508,KPULGAR
10407,vjimenez
10455,MMENDEZ
22535,FCACERES
10226,jgonzalez
10228,jgonzalez
4382,KPULGAR
20226,FCACERES
3717,jgonzalez
10329,vjimenez
14605,KNUÑEZ
9110,KNUÑEZ
567,vjimenez
9106,KNUÑEZ
5010,jgonzalez
5862,FCACERES
14523,KNUÑEZ
18149,jgonzalez
25220,vjimenez
2862,JHOPPE
26135,MMENDEZ
9877,KPULGAR
10327,JHOPPE
10447,vjimenez
10893,KPULGAR
10266,vjimenez
11812,jgonzalez
9162,vjimenez
10312,jgonzalez
15745,KNUÑEZ
25573,KPULGAR
2123,KNUÑEZ
1449,FCACERES
2129,KNUÑEZ
1610,KNUÑEZ
9331,KNUÑEZ
16600,JHOPPE
116,JHOPPE
6650,FCACERES
9660,jgonzalez
25448,MMENDEZ
7709,FCACERES
13344,vjimenez
3885,jgonzalez
22688,FCACERES
9786,JHOPPE
15787,KNUÑEZ
13486,vjimenez
14348,KNUÑEZ
10461,MMENDEZ
6918,KPULGAR
690,vjimenez
1500,KNUÑEZ
9127,KNUÑEZ
24209,MMENDEZ
225,JHOPPE
2124,KNUÑEZ
5016,jgonzalez
12602,JHOPPE
1528,KNUÑEZ
2456,KNUÑEZ
5012,jgonzalez
10364,jgonzalez
22234,FCACERES
26219,jgonzalez
5940,FCACERES
7403,FCACERES
10338,jgonzalez
17778,KPULGAR
8441,MMENDEZ
3795,jgonzalez
16415,JHOPPE
30005,KPULGAR
5706,FCACERES
1327,KNUÑEZ
9889,KPULGAR
10091,MMENDEZ
10103,MMENDEZ
5372,FCACERES
10769,JHOPPE
25895,MMENDEZ
12027,jgonzalez
8928,MMENDEZ
13384,vjimenez
16410,JHOPPE
10083,vjimenez
4970,jgonzalez
18102,jgonzalez
9104,vjimenez
10413,vjimenez
14822,KNUÑEZ
24412,MMENDEZ
9147,JHOPPE
10515,MMENDEZ
6649,FCACERES
9194,JHOPPE
1881,KNUÑEZ
8676,MMENDEZ
112,JHOPPE
15608,KNUÑEZ
14375,KNUÑEZ
5574,FCACERES
9100,JHOPPE
10489,MMENDEZ
1405,KNUÑEZ
12837,JHOPPE
25976,jgonzalez
9366,KNUÑEZ
11106,vjimenez
478,KPULGAR
2116,KNUÑEZ
10352,jgonzalez
10527,KNUÑEZ
10645,jgonzalez
9150,vjimenez
25101,MMENDEZ
1215,FCACERES
1596,KNUÑEZ
4658,jgonzalez
5265,FCACERES
25315,MMENDEZ
987,vjimenez
5661,FCACERES
13314,vjimenez
10554,vjimenez
4667,jgonzalez
17736,KPULGAR
15753,KNUÑEZ
3907,jgonzalez
10233,jgonzalez
22462,KPULGAR
9299,KNUÑEZ
1604,KNUÑEZ
8682,jgonzalez
9758,JHOPPE
9884,KPULGAR
9556,vjimenez
12115,jgonzalez
10556,vjimenez
16644,JHOPPE
1707,KNUÑEZ
6835,KPULGAR
22565,FCACERES
5020,jgonzalez
2580,KNUÑEZ
17765,jgonzalez
22608,FCACERES
10076,MMENDEZ
5663,FCACERES
17766,jgonzalez
18035,jgonzalez
10491,MMENDEZ
17600,KPULGAR
1516,KNUÑEZ
8435,MMENDEZ
10790,KPULGAR
24318,MMENDEZ
10742,JHOPPE
11845,vjimenez
12711,JHOPPE
10167,MMENDEZ
5678,FCACERES
11715,jgonzalez
17719,KPULGAR
1698,KNUÑEZ
6830,KPULGAR
24717,vjimenez
1316,KNUÑEZ
11706,jgonzalez
12185,KPULGAR
193,JHOPPE
297,JHOPPE
4630,jgonzalez
16461,JHOPPE
24866,MMENDEZ
24956,KPULGAR
10123,MMENDEZ
10833,KPULGAR
15739,KNUÑEZ
1036,vjimenez
9122,vjimenez
10472,MMENDEZ
6116,FCACERES
8658,MMENDEZ
9168,vjimenez
9369,KNUÑEZ
9993,MMENDEZ
5993,FCACERES
8421,MMENDEZ
8675,MMENDEZ
11789,KNUÑEZ
10422,MMENDEZ
8690,vjimenez
16570,JHOPPE
40194,vjimenez
9891,KPULGAR
10026,vjimenez
12050,jgonzalez
40230,KPULGAR
15610,KNUÑEZ
8046,FCACERES
10036,MMENDEZ
12225,KNUÑEZ
16685,JHOPPE
26130,MMENDEZ
1347,FCACERES
3304,JHOPPE
4664,jgonzalez
24879,KPULGAR
30006,KPULGAR
9876,KPULGAR
10106,MMENDEZ
3719,jgonzalez
1553,KNUÑEZ
9131,JHOPPE
10301,vjimenez
11336,JHOPPE
24714,KPULGAR
8436,MMENDEZ
10433,vjimenez
530,vjimenez
1570,KNUÑEZ
1886,KNUÑEZ
5726,FCACERES
10881,vjimenez
25991,MMENDEZ
9881,KPULGAR
2453,KNUÑEZ
14608,KNUÑEZ
24960,vjimenez
10548,vjimenez
9668,KPULGAR
26274,vjimenez
9895,KPULGAR
15768,KNUÑEZ
5680,FCACERES
9666,KPULGAR
10488,MMENDEZ
11719,KPULGAR
26152,jgonzalez
2143,KNUÑEZ
9411,jgonzalez
