AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;FONO_RBD;CELULAR_RBD;DIR_RBD;LATITUD;LONGITUD;CONVENIO_PIE;ENS_01;ENS_02;ENS_03;ENS_04;ENS_05;ENS_06;ENS_07;ENS_08;ENS_09;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL
2015;16991;9;ESCUELA ESPECIAL DE LENGUAJE GREEN DAY;5;58;5802;LIMACHE;51;QUILLOTA;3;2;0;2258400;93016015;AVENIDA REPUBLICA;0;0;0;214;0;0;0;0;0;0;0;0;1;1;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;7061;0;ESCUELA RURAL LA RINCONADA;14;141;14108;PANGUIPULLI;141;VALDIVIA;1;1;1;2318227;86298821;VILLA  MAGISTERIO    CHOSHUENCO;-39,835207;-72,08223;1;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;7944;8;ESCUELA RURAL SANTA MONICA;10;101;10104;FRESIA;101;LLANQUIHUE;2;1;1;441320;88460822;SECTOR MONTE VERDE;-41,125734;-73,48978;0;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;22184;8;ESCUELA PARTICULAR RUBEN BASTIDAS;10;101;10108;MAULLIN;101;LLANQUIHUE;3;2;1;451216;77891950;EL DADY;-41,665152;-73,66091;1;110;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;7786;0;ESCUELA RURAL DAITAO;10;101;10102;CALBUCO;101;LLANQUIHUE;2;1;1; ;86207273;CAMINO DAITAO;-41,733058;-73,21120;0;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;22657;2;COLEGIO PARTICULAR GOLETA ANCUD;10;102;10202;ANCUD;102;CHILOE;3;2;0;621888; ;AVENIDA LA PAZ;-41,878556;-73,80886;0;110;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;8314;3;ESCUELA RURAL CANDELARIA;10;104;10403;HUALAIHUE;101;PALENA;2;1;1;217317; ;ISLA LLANCHID;-42,050569;-72,58758;0;110;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;22330;1;CENTRO EDUCACIONAL SAN AGUSTIN;10;102;10208;QUELLON;102;CHILOE;3;2;0;57097533;89022428;ALBERTO VANZ S/N;-43,113518;-73,61656;1;10;110;310;0;0;0;0;0;0;1;1;2; ;GRATUITO;$25.001 A $50.000
2015;8030;6;ESCUELA RURAL GAMBOA;10;102;10201;CASTRO;102;CHILOE;1;1;1;2531237;79972710;GAMBOA;-42,475145;-73,79584;0;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;40446;2;JARDIN INFANTIL AMIGOS POR SIEMPRE;10;102;10208;QUELLON;102;CHILOE;3;2;0;680530;75792515;AGUSTÍN GOMÉZ GARCÍA;-43,121522;-73,62265;0;10;0;0;0;0;0;0;0;0;1;1;9; ;GRATUITO;$25.001 A $50.000
