AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;CONVENIO_SEP;AÑO_INGRESO_SEP;CLASIFICACION_SEP;N_PRIO;N_BEN
2015;5340;6;ESC. BASICA LEONTINA VASQUEZ RIVERA;9;92;9205;LONQUIMAY;91;MALLECO;2;1;1;1;2008;EMERGENTE;1;1
2015;5341;4;ESCUELA BASICA DOMINGO CAMARGO;9;92;9205;LONQUIMAY;91;MALLECO;2;1;1;1;2008;EMERGENTE;42;42
2015;5342;2;ESCUELA PARTICULAR LONQUIMAY;9;92;9205;LONQUIMAY;91;MALLECO;3;2;0;1;2008;EMERGENTE;199;199
2015;5343;0;LICEO POLITECNICO C-12 CURACAUTIN;9;92;9203;CURACAUTIN;91;MALLECO;5;4;0;0; ; ;320;0
2015;5344;9;LICEO LAS ARAUCARIAS;9;92;9203;CURACAUTIN;91;MALLECO;2;1;0;1;2008;AUTONOMO;749;680
2015;5345;7;ESCUELA LUIS CRUZ MARTINEZ;9;92;9203;CURACAUTIN;91;MALLECO;2;1;0;1;2008;EMERGENTE;177;177
2015;5346;5;ESCUELA OSVALDO FUENTES BARRERA;9;92;9203;CURACAUTIN;91;MALLECO;2;1;0;1;2008;EMERGENTE;78;78
2015;5347;3;ESCUELA PATRICIO CHAVEZ SOTO;9;92;9203;CURACAUTIN;91;MALLECO;2;1;0;1;2008;AUTONOMO;312;312
2015;5348;1;RAMON EDUARDO RAMIREZ HENRIQUEZ;9;92;9203;CURACAUTIN;91;MALLECO;2;1;1;1;2008;EMERGENTE;31;31
2015;5350;3;ESCUELA ED. DIFERENCIAL DE CURACAUTIN;9;92;9203;CURACAUTIN;91;MALLECO;2;1;0;0; ; ;24;0
2015;5353;8;ESCUELA BASICA REPUBLICA DE MEXICO;9;92;9203;CURACAUTIN;91;MALLECO;2;1;1;1;2008;EMERGENTE;116;116
2015;5357;0;ESCUELA LOS PRADOS;9;92;9203;CURACAUTIN;91;MALLECO;2;1;1;1;2008;EMERGENTE;5;5
2015;5358;9;ESCUELA BASICA COLLICO;9;92;9203;CURACAUTIN;91;MALLECO;2;1;1;1;2008;EMERGENTE;3;3
2015;5360;0;ESCUELA BASICA LEFUCO;9;92;9203;CURACAUTIN;91;MALLECO;2;1;1;1;2008;EMERGENTE;3;3
2015;5362;7;ESCUELA RIO BLANCO;9;92;9203;CURACAUTIN;91;MALLECO;2;1;1;1;2008;EMERGENTE;1;1
2015;5363;5;ESCUELA BASICA ALEJO TASCON;9;92;9203;CURACAUTIN;91;MALLECO;2;1;1;1;2008;EMERGENTE;45;45
2015;5364;3;ESCUELA MANCHURIA;9;92;9203;CURACAUTIN;91;MALLECO;2;1;1;1;2008;EMERGENTE;3;3
2015;5365;1;ESCUELA JOSE CHANIN SILHY;9;92;9203;CURACAUTIN;91;MALLECO;2;1;1;1;2008;EMERGENTE;3;3
2015;5368;6;ESC. BASICA SAN ARTURO, RADALCO ESTE.;9;92;9203;CURACAUTIN;91;MALLECO;2;1;1;1;2008;EMERGENTE;3;3
2015;5371;6;ESCUELA DE SANTA JULIA;9;92;9203;CURACAUTIN;91;MALLECO;2;1;1;1;2008;EMERGENTE;3;3
2015;5372;4;ESCUELA PARTICULAR SANTA ELENA;9;92;9203;CURACAUTIN;91;MALLECO;3;2;0;1;2008;AUTONOMO;382;382
2015;5373;2;ESCUELA PARTICULAR SANTA EMMA;9;92;9203;CURACAUTIN;91;MALLECO;3;2;1;1;2008;EMERGENTE;89;89
2015;5374;0;LICEO ALONSO DE ERCILLA Y ZUÑIGA;9;92;9204;ERCILLA;91;MALLECO;2;1;0;1;2008;EMERGENTE;278;267
2015;5375;9;ESCUELA BASICA SALVADOR ALLENDE;9;92;9204;ERCILLA;91;MALLECO;2;1;0;1;2008;EMERGENTE;99;99
2015;5376;7;ESCUELA BASICA SAN RAMON;9;92;9204;ERCILLA;91;MALLECO;2;1;1;1;2008;EMERGENTE;16;16
2015;5378;3;ESCUELA BASICA TEODOCIO URRUTIA;9;92;9204;ERCILLA;91;MALLECO;2;1;1;1;2008;EMERGENTE;153;153
2015;5379;1;ESCUELA TRICAUCO;9;92;9204;ERCILLA;91;MALLECO;2;1;1;1;2008;EMERGENTE;27;27
2015;5380;5;ECUELA FEDERICO RAYDET;9;92;9204;ERCILLA;91;MALLECO;2;1;1;1;2008;EMERGENTE;5;5
2015;5381;3;ESC. ASENTAMIENTO PABLO NERUDA;9;92;9204;ERCILLA;91;MALLECO;2;1;1;1;2008;EMERGENTE;3;3
2015;5382;1;ESCUELA MILLALEVIA;9;92;9204;ERCILLA;91;MALLECO;2;1;1;1;2008;EMERGENTE;95;95
2015;5385;6;ESCUELA CHACAIMAPU;9;92;9204;ERCILLA;91;MALLECO;2;1;1;1;2008;EMERGENTE;80;80
2015;5386;4;ESCUELA BASICA TEMOCUICUI;9;92;9204;ERCILLA;91;MALLECO;2;1;1;1;2008;EMERGENTE;52;52
2015;5387;2;ESC.PAR.SAN FRANCISCO DE ASIS DE ERCILLA;9;92;9204;ERCILLA;91;MALLECO;3;2;0;1;2008;EMERGENTE;240;240
2015;5389;9;ESCUELA PARTICULAR NUPANGUE;9;92;9204;ERCILLA;91;MALLECO;3;2;1;1;2009;EMERGENTE;1;1
2015;5391;0;ESCUELA PARTICULAR SANTA ROSA;9;92;9204;ERCILLA;91;MALLECO;3;2;1;1;2008;EMERGENTE;38;38
2015;5392;9;ESCUELA PARTICULAR EL PROGRESO;9;92;9202;COLLIPULLI;91;MALLECO;3;2;1;1;2008;EMERGENTE;48;48
2015;5393;7;LICEO POLITECNICO MANUEL MONTT;9;92;9211;VICTORIA;91;MALLECO;2;1;0;1;2013;EMERGENTE;597;472
2015;5394;5;LICEO JORGE ALESSANDRI RODRIGUEZ;9;92;9211;VICTORIA;91;MALLECO;2;1;0;1;2013;EMERGENTE;270;185
2015;5395;3;ESCUELA MARCELA PAZ;9;92;9211;VICTORIA;91;MALLECO;2;1;0;1;2008;AUTONOMO;313;313
2015;5396;1;COLEGIO IGNACIO CARRERA PINTO;9;92;9211;VICTORIA;91;MALLECO;2;1;0;1;2008;AUTONOMO;225;222
2015;5398;8;ESCUELA HEROES DE IQUIQUE;9;92;9211;VICTORIA;91;MALLECO;2;1;0;1;2008;EMERGENTE;195;195
2015;5401;1;ESCUELA ESPECIAL CONFEDERACION SUIZA;9;92;9211;VICTORIA;91;MALLECO;2;1;0;0; ; ;34;0
2015;5403;8;ESCUELA CLAUDIO MATTE;9;92;9211;VICTORIA;91;MALLECO;2;1;0;0; ; ;4;0
2015;5404;6;ESCUELA HERNAN TRIZANO AVEZZANA;9;92;9211;VICTORIA;91;MALLECO;2;1;0;1;2008;EMERGENTE;30;30
2015;5406;2;ESCUELA SELVA OSCURA;9;92;9211;VICTORIA;91;MALLECO;2;1;1;1;2008;EMERGENTE;182;182
2015;5407;0;ESCUELA BASICA PATRICIO LINCH;9;92;9211;VICTORIA;91;MALLECO;2;1;0;1;2008;EMERGENTE;64;64
2015;5408;9;ESCUELA PAILAHUEQUE;9;92;9211;VICTORIA;91;MALLECO;2;1;1;1;2008;EMERGENTE;107;107
2015;5410;0;ESCUELA PEHUENCO;9;92;9211;VICTORIA;91;MALLECO;2;1;1;1;2008;EMERGENTE;15;15
2015;5411;9;ESCUELA QUINO;9;92;9211;VICTORIA;91;MALLECO;2;1;1;1;2008;EMERGENTE;103;103
2015;5414;3;ESCUELA BASICA TOQUIHUE;9;92;9211;VICTORIA;91;MALLECO;2;1;1;1;2008;EMERGENTE;11;11
2015;5415;1;ESCUELA BASICA EL PORVENIR;9;92;9211;VICTORIA;91;MALLECO;2;1;1;1;2008;EMERGENTE;3;3
2015;5422;4;ESCUELA BASICA LAS CARDAS;9;92;9211;VICTORIA;91;MALLECO;2;1;1;1;2008;EMERGENTE;37;37
2015;5423;2;ESCUELA BASICA TRANGOL;9;92;9211;VICTORIA;91;MALLECO;2;1;1;1;2008;EMERGENTE;32;32
2015;5424;0;ESCUELA BASICA SAN LUIS;9;92;9211;VICTORIA;91;MALLECO;2;1;1;1;2008;EMERGENTE;8;8
2015;5425;9;ESCUELA BASICA SANTA ELENA;9;92;9211;VICTORIA;91;MALLECO;2;1;1;1;2008;EMERGENTE;60;60
2015;5430;5;ESCUELA BASICA COLO;9;92;9211;VICTORIA;91;MALLECO;2;1;1;1;2008;EMERGENTE;23;23
2015;5431;3;ESCUELA BASICA SAN PEDRO;9;92;9211;VICTORIA;91;MALLECO;2;1;1;1;2008;EMERGENTE;10;10
2015;5434;8;COLEGIO INSTITUTO VICTORIA;9;92;9211;VICTORIA;91;MALLECO;3;2;0;1;2008;AUTONOMO;404;382
2015;5435;6;COLEGIO SANTA CRUZ DE VICTORIA;9;92;9211;VICTORIA;91;MALLECO;3;2;0;1;2013;EMERGENTE;256;240
2015;5436;4;ESCUELA PARTICULAR LA ARAUCANA;9;92;9211;VICTORIA;91;MALLECO;3;2;1;1;2009;EMERGENTE;5;5
2015;5437;2;ESCUELA PARTICULAR BOLLILCO;9;92;9211;VICTORIA;91;MALLECO;3;2;1;1;2009;EMERGENTE;12;12
2015;5439;9;COMPLEJO EDUCACIONAL LUIS DURAND DURAND;9;92;9210;TRAIGUEN;91;MALLECO;2;1;0;1;2012;EMERGENTE;290;218
2015;5440;2;LICEO LUCILA GODOY ALCAYAGA;9;92;9210;TRAIGUEN;91;MALLECO;2;1;0;1;2012;EMERGENTE;312;266
2015;5441;0;ESCUELA REPUBLICA DE ISRAEL;9;92;9210;TRAIGUEN;91;MALLECO;2;1;0;1;2008;AUTONOMO;451;451
2015;5442;9;ESCUELA BASICA EMILIA ROMAGNA;9;92;9210;TRAIGUEN;91;MALLECO;2;1;0;1;2008;AUTONOMO;436;436
2015;5444;5;ESCUELA PROFESOR JUAN DE LA CRUZ MUNOZ M.;9;92;9210;TRAIGUEN;91;MALLECO;2;1;0;0; ; ;1;0
2015;5446;1;ESCUELA DIEGO PORTALES;9;92;9210;TRAIGUEN;91;MALLECO;2;1;0;1;2008;EMERGENTE;130;130
2015;5449;6;ESC. BASICA ANIDIR;9;92;9210;TRAIGUEN;91;MALLECO;2;1;1;1;2008;EMERGENTE;20;20
2015;5455;0;ESC.BASICA QUILQUEN;9;92;9210;TRAIGUEN;91;MALLECO;2;1;1;1;2008;EMERGENTE;11;11
2015;5459;3;ESC. BASICA FUNDO QUINO;9;92;9210;TRAIGUEN;91;MALLECO;2;1;1;1;2008;EMERGENTE;7;7
2015;5462;3;ESC. BASICA REDUCCION TEMULEMU;9;92;9210;TRAIGUEN;91;MALLECO;2;1;1;1;2008;EMERGENTE;29;29
2015;5463;1;ESC. BASICA DIDAICO;9;92;9210;TRAIGUEN;91;MALLECO;2;1;1;1;2008;EMERGENTE;18;18
2015;5465;8;COLEGIO LOUIS PASTEUR;9;92;9210;TRAIGUEN;91;MALLECO;3;2;0;1;2008;AUTONOMO;343;329
2015;5466;6;ESCUELA PARTICULAR SANTA ROSA;9;92;9210;TRAIGUEN;91;MALLECO;3;2;0;1;2008;EMERGENTE;232;232
2015;5467;4;LICEO AGRICOLA Y FORESTAL SUIZO LA PROVI;9;92;9210;TRAIGUEN;91;MALLECO;3;2;1;1;2013;EMERGENTE;223;171
2015;5469;0;ESCUELA PARTICULAR LORENZO COLIPI;9;92;9210;TRAIGUEN;91;MALLECO;3;2;1;0; ; ;17;0
2015;5470;4;ESCUELA BASICA REPUBLICA DE ITALIA;9;92;9207;LUMACO;91;MALLECO;2;1;0;1;2008;AUTONOMO;301;301
2015;5471;2;ESCUELA F-174 VALLE DE LUMACO;9;92;9207;LUMACO;91;MALLECO;2;1;0;1;2008;EMERGENTE;406;397
2015;5472;0;ESC. MUNICIPAL PICHIPELLAHUEN;9;92;9207;LUMACO;91;MALLECO;2;1;1;1;2008;EMERGENTE;70;70
2015;5473;9;ESC. BASICA QUETRAHUE;9;92;9207;LUMACO;91;MALLECO;2;1;1;1;2008;EMERGENTE;17;17
